0.000000	8.616614	2
8.616614	9.160658	0
12.051861	13.595908	2
16.015607	17.269498	0
21.196975	24.031183	2
24.031183	25.844661	1
25.844661	27.813581	2
27.813581	29.388717	1
29.388717	30.621882	2
30.621882	31.305823	1
31.305823	33.191841	2
33.191841	35.264388	1
35.264388	36.010505	2
36.010505	37.596003	1
37.596003	42.673743	2
42.673743	50.642687	1
50.642687	53.824046	2
53.824046	61.046873	1
61.046873	61.751539	2
61.751539	62.849988	0
62.849988	62.943253	2
62.943253	64.217870	1
64.217870	64.642742	0
64.642742	65.067614	1
65.067614	69.326698	2
69.326698	70.860383	1
70.860383	72.684224	2
72.684224	73.243812	1
73.243812	76.964034	2
76.964034	78.466630	1
78.466630	80.269746	2
80.269746	81.119491	1
81.119491	81.927784	2
81.927784	84.021056	1
84.021056	96.290535	2
96.290535	98.487435	1
98.487435	100.269825	2
100.269825	113.907184	1
113.907184	116.000457	2
116.000457	117.658495	1
117.658495	124.124841	2
124.124841	138.383965	1
138.383965	142.238902	2
142.238902	145.078292	0
